Ticket ID,Ticket Type,Ticket Priority,Ticket Status,Ticket Channel,Cluster,Country,Average_First_Response_Minutes,Customer Satisfaction Rating
1,Technical issue,Critical,Pending Customer Response,Social media,Product setup,USA,30,0.0
2,Technical issue,Critical,Pending Customer Response,Chat,Peripheral compatibility,Germany,30,0.0
3,Technical issue,Low,Closed,Social media,Network problem,India,30,3.0
4,Billing inquiry,Low,Closed,Social media,Account access,UK,30,3.0
5,Billing inquiry,Low,Closed,Email,Data loss,Germany,30,1.0
6,Cancellation request,Low,Open,Social media,Payment issue,UK,30,0.0
7,Product inquiry,Critical,Open,Social media,Refund request,UK,30,0.0
8,Refund request,Critical,Open,Social media,Battery life,Japan,30,0.0
9,Technical issue,Low,Pending Customer Response,Social media,Installation support,USA,30,0.0
10,Refund request,Critical,Pending Customer Response,Phone,Payment issue,UK,30,0.0
11,Cancellation request,High,Closed,Phone,Data loss,Germany,30,1.0
12,Product inquiry,High,Closed,Chat,Software bug,Other,30,1.0
13,Technical issue,Low,Pending Customer Response,Chat,Hardware issue,Other,30,0.0
14,Technical issue,Low,Pending Customer Response,Chat,Product setup,USA,30,0.0
15,Billing inquiry,High,Closed,Chat,Product setup,USA,30,4.0
16,Billing inquiry,High,Pending Customer Response,Social media,Product recommendation,Other,30,0.0
17,Product inquiry,Critical,Closed,Chat,Account access,UK,30,4.0
18,Product inquiry,High,Pending Customer Response,Chat,Payment issue,UK,30,0.0
19,Product inquiry,High,Open,Social media,Peripheral compatibility,Germany,30,0.0
20,Refund request,Low,Closed,Chat,Software bug,Other,30,5.0
21,Refund request,High,Pending Customer Response,Chat,Payment issue,UK,30,0.0
22,Cancellation request,Critical,Pending Customer Response,Social media,Installation support,USA,30,0.0
23,Cancellation request,Medium,Open,Social media,Delivery problem,Other,30,0.0
24,Technical issue,Low,Pending Customer Response,Social media,Refund request,UK,30,0.0
25,Product inquiry,Critical,Open,Email,Display issue,Other,30,0.0
26,Product inquiry,Medium,Pending Customer Response,Social media,Refund request,UK,30,0.0
27,Billing inquiry,Low,Pending Customer Response,Social media,Cancellation request,Other,30,0.0
28,Cancellation request,High,Open,Phone,Product setup,USA,30,0.0
29,Technical issue,Critical,Closed,Phone,Product recommendation,Other,30,5.0
30,Cancellation request,Medium,Closed,Phone,Cancellation request,Other,30,1.0
31,Billing inquiry,Low,Open,Email,Product setup,USA,30,0.0
32,Technical issue,Medium,Closed,Social media,Product compatibility,Other,30,3.0
33,Billing inquiry,Medium,Pending Customer Response,Chat,Product recommendation,Other,30,0.0
34,Refund request,Critical,Closed,Social media,Hardware issue,Other,30,5.0
35,Refund request,Low,Pending Customer Response,Chat,Installation support,USA,30,0.0
36,Cancellation request,High,Closed,Chat,Product recommendation,Other,30,1.0
37,Refund request,Medium,Pending Customer Response,Email,Hardware issue,Other,30,0.0
38,Product inquiry,Medium,Open,Chat,Product compatibility,Other,30,0.0
39,Technical issue,Critical,Closed,Phone,Account access,UK,30,3.0
40,Product inquiry,Medium,Pending Customer Response,Social media,Account access,UK,30,0.0
41,Product inquiry,Low,Pending Customer Response,Phone,Installation support,USA,30,0.0
42,Billing inquiry,Critical,Closed,Chat,Product compatibility,Other,30,3.0
43,Product inquiry,Medium,Pending Customer Response,Phone,Product compatibility,Other,30,0.0
44,Technical issue,Low,Open,Email,Hardware issue,Other,30,0.0
45,Refund request,Critical,Closed,Email,Product compatibility,Other,30,2.0
46,Product inquiry,Low,Open,Chat,Cancellation request,Other,30,0.0
47,Refund request,High,Closed,Phone,Network problem,India,30,1.0
48,Technical issue,Medium,Closed,Social media,Software bug,Other,30,1.0
49,Cancellation request,High,Open,Chat,Network problem,India,30,0.0
50,Technical issue,Medium,Open,Chat,Display issue,Other,30,0.0
51,Refund request,Medium,Open,Chat,Software bug,Other,30,0.0
52,Refund request,Medium,Closed,Chat,Software bug,Other,30,3.0
53,Refund request,High,Closed,Social media,Network problem,India,30,3.0
54,Cancellation request,Low,Closed,Chat,Delivery problem,Other,30,4.0
55,Technical issue,Low,Pending Customer Response,Chat,Network problem,India,30,0.0
56,Cancellation request,Critical,Pending Customer Response,Chat,Software bug,Other,30,0.0
57,Technical issue,Medium,Pending Customer Response,Social media,Software bug,Other,30,0.0
58,Refund request,Critical,Open,Email,Peripheral compatibility,Germany,30,0.0
59,Technical issue,Medium,Closed,Phone,Product recommendation,Other,30,5.0
